Scenario,Protocol,Throughput (Mbps),Delay (ms),Jitter (ms),Loss (%)
congested_heavy,TcpSwift,820.11,4.1446,0.0236,0.00
intra_rack_10g,TcpSwift,9811.36,0.3704,0.0019,0.00
wan_metro,TcpNewReno,816.22,4.5721,0.0218,0.00
intra_rack_25g,TcpCubic,25131.79,2.1915,0.0007,0.00
oversub_4to1_10g,TcpCubic,2170.41,2.1873,0.0084,0.00
wifi_ax,TcpBbr,449.84,9.3857,0.0055,0.04
nr_5g_embb,TcpNewReno,375.37,9.5268,0.0304,0.00
satellite_leo,TcpBbr,17.13,72.2271,0.1223,0.57
oversub_4to1_40g,TcpSwift,9811.35,0.3704,0.0019,0.00
intra_rack_10g,TcpBbr,2.27,0.0051,0.0000,0.00
wifi_ac,TcpCubic,309.45,9.9706,0.0541,0.00
oversub_2to1_25g,TcpCubic,12364.88,2.2295,0.0015,0.00
cross_dc_wan,TcpSwift,673.47,5.3937,0.0062,0.00
satellite_leo,TcpCubic,37.28,59.1157,0.2630,1.79
congested_heavy,TcpBbr,57.27,0.0915,0.0025,0.00
symmetric_low,TcpSwift,808.47,4.2293,0.0238,0.00
wifi_ax,TcpCubic,465.30,7.5805,0.0388,0.00
oversub_4to1_10g,TcpNewReno,2169.90,2.3944,0.0083,0.08
congested_light,TcpNewReno,4705.89,2.1197,0.0039,0.01
leaf_spine_50g,TcpSwift,50662.01,0.0717,0.0004,0.00
wifi_legacy,TcpCubic,7.51,101.7115,1.3910,2.51
mixed_small_flow,TcpBbr,129.37,0.0264,0.0012,0.00
nr_5g_edge,TcpBbr,44.42,31.7567,0.0399,0.19
congested_medium,TcpNewReno,1719.77,2.5556,0.0106,0.01
dc_oversub_10to1,TcpCubic,818.62,2.6053,0.0222,0.00
cross_dc_wan,TcpCubic,813.68,7.0264,0.0202,0.00
satellite_leo,TcpNewReno,33.68,44.7465,0.1918,0.13
nr_5g_embb,TcpCubic,386.79,9.7313,0.0442,0.00
wifi_ac,TcpSwift,308.41,11.2096,0.0563,0.00
lte_good,TcpSwift,37.86,63.9787,0.5170,0.00
cross_pod_10g,TcpNewReno,9811.93,1.9846,0.0019,0.01
asymmetric_high,TcpSwift,820.11,4.1446,0.0236,0.00
wan_longhaul,TcpSwift,138.38,26.0321,0.0061,0.00
wifi_n,TcpNewReno,35.73,27.8338,0.2203,0.04
oversub_2to1_25g,TcpSwift,12364.22,0.2939,0.0015,0.00
cross_pod_10g,TcpSwift,9811.11,0.3704,0.0019,0.00
rdma_like_50g,TcpCubic,50663.12,1.1901,0.0004,0.00
oversub_4to1_40g,TcpNewReno,9812.26,1.9550,0.0019,0.01
dc_500m,TcpCubic,389.27,3.2668,0.0467,0.00
wan_longhaul,TcpNewReno,604.99,27.9856,0.0077,0.11
mixed_small_flow,TcpSwift,1719.72,2.1128,0.0106,0.00
satellite_geo,TcpSwift,5.80,425.3841,2.0994,0.00
rdma_like_50g,TcpBbr,2.13,0.0024,0.0000,0.00
wifi_ax,TcpNewReno,456.92,7.4050,0.0279,0.00
satellite_geo,TcpBbr,1.86,430.7459,0.7260,7.46
leaf_spine_50g,TcpNewReno,50663.28,1.1182,0.0004,0.00
intra_rack_25g,TcpNewReno,25131.96,1.8871,0.0007,0.00
congested_medium,TcpBbr,132.75,0.0396,0.0011,0.00
oversub_2to1_50g,TcpNewReno,25131.90,1.8901,0.0007,0.00
oversub_4to1_40g,TcpCubic,9811.87,2.2343,0.0019,0.00
leaf_spine_20g,TcpBbr,7555.38,0.0096,0.0000,0.00
rdma_like_50g,TcpSwift,50662.17,0.0717,0.0004,0.00
symmetric_low,TcpBbr,49.95,0.0654,0.0012,0.00
oversub_2to1_25g,TcpBbr,7048.86,0.0101,0.0001,0.00
dc_500m,TcpNewReno,389.50,3.6099,0.0467,0.01
