Scenario,Protocol,Throughput (Mbps),Delay (ms),Jitter (ms),Loss (%)
congested_heavy,TcpSwift,1021.12,3.4911,0.0182,0.00
intra_rack_10g,TcpSwift,10212.94,0.3558,0.0018,0.00
wan_metro,TcpNewReno,1019.57,4.6101,0.0174,0.00
intra_rack_25g,TcpCubic,25533.13,2.1968,0.0007,0.00
oversub_4to1_10g,TcpCubic,2552.84,2.4447,0.0071,0.00
wifi_ax,TcpBbr,612.10,8.6431,0.0021,0.01
nr_5g_embb,TcpNewReno,507.40,9.2401,0.0231,0.00
satellite_leo,TcpBbr,47.66,48.4107,0.0461,0.46
oversub_4to1_40g,TcpSwift,10212.92,0.3558,0.0018,0.00
intra_rack_10g,TcpBbr,2.28,0.0051,0.0000,0.00
wifi_ac,TcpCubic,406.78,10.0128,0.0422,0.00
oversub_2to1_25g,TcpCubic,12766.79,2.2298,0.0014,0.00
cross_dc_wan,TcpSwift,722.09,5.0311,0.0060,0.00
satellite_leo,TcpCubic,50.54,50.0585,0.2011,0.66
congested_heavy,TcpBbr,516.71,0.0699,0.0028,0.00
symmetric_low,TcpSwift,1021.12,3.4914,0.0182,0.00
wifi_ax,TcpCubic,610.85,7.5861,0.0295,0.00
oversub_4to1_10g,TcpNewReno,2553.93,2.5061,0.0070,0.07
congested_light,TcpNewReno,5107.45,2.2040,0.0036,0.01
leaf_spine_50g,TcpSwift,51064.54,0.0712,0.0004,0.00
wifi_legacy,TcpCubic,10.18,97.0732,0.9477,1.34
mixed_small_flow,TcpBbr,1033.21,0.0236,0.0012,0.00
nr_5g_edge,TcpBbr,100.78,39.2135,0.0299,0.05
congested_medium,TcpNewReno,2042.96,2.6635,0.0089,0.01
dc_oversub_10to1,TcpCubic,1021.18,2.7521,0.0178,0.00
cross_dc_wan,TcpCubic,1017.69,7.2920,0.0178,0.00
satellite_leo,TcpNewReno,50.14,40.2629,0.1470,0.02
nr_5g_embb,TcpCubic,508.36,9.7183,0.0337,0.00
wifi_ac,TcpSwift,405.61,8.9298,0.0441,0.00
lte_good,TcpSwift,50.33,55.3155,0.3683,0.00
cross_pod_10g,TcpNewReno,10213.49,2.0045,0.0018,0.01
asymmetric_high,TcpSwift,1021.12,3.4911,0.0182,0.00
wan_longhaul,TcpSwift,138.54,26.0116,0.0060,0.00
wifi_n,TcpNewReno,50.71,26.1180,0.1679,0.03
oversub_2to1_25g,TcpSwift,12766.15,0.2847,0.0014,0.00
cross_pod_10g,TcpSwift,10212.68,0.3558,0.0018,0.00
rdma_like_50g,TcpCubic,51065.65,1.1804,0.0004,0.00
oversub_4to1_40g,TcpNewReno,10213.80,1.9761,0.0018,0.01
dc_500m,TcpCubic,510.60,3.3421,0.0356,0.00
wan_longhaul,TcpNewReno,837.82,26.6757,0.0063,0.00
mixed_small_flow,TcpSwift,2042.24,1.7791,0.0089,0.00
satellite_geo,TcpSwift,8.71,355.7396,0.6590,0.00
rdma_like_50g,TcpBbr,2.13,0.0024,0.0000,0.00
wifi_ax,TcpNewReno,610.07,7.2817,0.0226,0.00
satellite_geo,TcpBbr,2.90,466.0776,0.6912,5.88
leaf_spine_50g,TcpNewReno,51065.81,1.1091,0.0004,0.00
intra_rack_25g,TcpNewReno,25533.31,1.8976,0.0007,0.00
congested_medium,TcpBbr,1041.99,0.0357,0.0011,0.00
oversub_2to1_50g,TcpNewReno,25533.25,1.9016,0.0007,0.00
oversub_4to1_40g,TcpCubic,10213.41,2.2650,0.0018,0.00
leaf_spine_20g,TcpBbr,7543.93,0.0096,0.0000,0.00
rdma_like_50g,TcpSwift,51064.70,0.0712,0.0004,0.00
symmetric_low,TcpBbr,491.28,0.0502,0.0012,0.00
oversub_2to1_25g,TcpBbr,7125.96,0.0100,0.0001,0.00
dc_500m,TcpNewReno,510.83,3.4956,0.0356,0.01
nr_5g_edge,TcpCubic,101.45,21.6141,0.1337,0.02
