Setting,Scenario,Protocol,BottleneckMbps,BaseOwdMs,Flows,SinkPort,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,asymmetric_high,TcpBbr,1000.0,0.012,3,49153/50000,510.16,0.5102,0.1308,0.0043,0.0,0.9999,logs/comparison/asymmetric_high_TcpBbr.flowmonitor
tcp_only,asymmetric_high,TcpCubic,1000.0,0.012,3,49153/50000,1003.63,1.0036,5.4918,0.0356,0.0011,1.0,logs/comparison/asymmetric_high_TcpCubic.flowmonitor
tcp_only,asymmetric_high,TcpNewReno,1000.0,0.012,3,49153/50000,1003.63,1.0036,5.8668,0.0356,0.0046,1.0,logs/comparison/asymmetric_high_TcpNewReno.flowmonitor
tcp_only,asymmetric_high,TcpSwift,1000.0,0.012,3,49153/50000,1003.63,1.0036,6.9698,0.0363,0.0,1.0,logs/comparison/asymmetric_high_TcpSwift.flowmonitor
tcp_only,congested_heavy,TcpBbr,1000.0,0.009,3,49153/50000,507.86,0.5079,0.1303,0.0057,0.0,1.0,logs/comparison/congested_heavy_TcpBbr.flowmonitor
tcp_only,congested_heavy,TcpCubic,1000.0,0.009,3,49153/50000,1003.63,1.0036,5.4946,0.0356,0.0011,1.0,logs/comparison/congested_heavy_TcpCubic.flowmonitor
tcp_only,congested_heavy,TcpNewReno,1000.0,0.009,3,49153/50000,1003.63,1.0036,5.8697,0.0356,0.0046,1.0,logs/comparison/congested_heavy_TcpNewReno.flowmonitor
tcp_only,congested_heavy,TcpSwift,1000.0,0.009,3,49153/50000,1003.63,1.0036,6.9727,0.0363,0.0,1.0,logs/comparison/congested_heavy_TcpSwift.flowmonitor
tcp_only,congested_light,TcpBbr,5000.0,0.009,3,49153/50000,2544.08,0.5088,0.0195,0.0012,0.0,0.9999,logs/comparison/congested_light_TcpBbr.flowmonitor
tcp_only,congested_light,TcpCubic,5000.0,0.009,3,49153/5000,5019.0,1.0038,4.6673,0.0071,0.0002,1.0,logs/comparison/congested_light_TcpCubic.flowmonitor
tcp_only,congested_light,TcpNewReno,5000.0,0.009,3,49153/5000,5019.0,1.0038,4.3989,0.0071,0.018,1.0,logs/comparison/congested_light_TcpNewReno.flowmonitor
tcp_only,congested_light,TcpSwift,5000.0,0.009,3,49153/5000,5019.0,1.0038,1.4141,0.0071,0.0,1.0,logs/comparison/congested_light_TcpSwift.flowmonitor
tcp_only,congested_medium,TcpBbr,2000.0,0.009,3,49153/50000,1024.13,0.5121,0.0621,0.0021,0.0,1.0,logs/comparison/congested_medium_TcpBbr.flowmonitor
tcp_only,congested_medium,TcpCubic,2000.0,0.009,3,49153/50000,2007.26,1.0036,4.9723,0.0178,0.0005,1.0,logs/comparison/congested_medium_TcpCubic.flowmonitor
tcp_only,congested_medium,TcpNewReno,2000.0,0.009,3,49153/5000,2007.26,1.0036,5.3176,0.0178,0.0169,1.0,logs/comparison/congested_medium_TcpNewReno.flowmonitor
tcp_only,congested_medium,TcpSwift,2000.0,0.009,3,49153/50000,2007.26,1.0036,3.549,0.0178,0.0,1.0,logs/comparison/congested_medium_TcpSwift.flowmonitor
tcp_only,cross_dc_wan,TcpBbr,1000.0,5.02,3,49153/50000,1001.47,1.0015,10.7285,0.0024,0.0033,0.8928,logs/comparison/cross_dc_wan_TcpBbr.flowmonitor
tcp_only,cross_dc_wan,TcpCubic,1000.0,5.02,3,49153/50000,1000.05,1.0001,9.5635,0.0355,0.0011,1.0,logs/comparison/cross_dc_wan_TcpCubic.flowmonitor
tcp_only,cross_dc_wan,TcpNewReno,1000.0,5.02,3,49153/50000,998.38,0.9984,8.8805,0.0285,0.0014,0.9997,logs/comparison/cross_dc_wan_TcpNewReno.flowmonitor
tcp_only,cross_dc_wan,TcpSwift,1000.0,5.02,3,49153/50000,709.72,0.7097,5.0416,0.012,0.0,1.0,logs/comparison/cross_dc_wan_TcpSwift.flowmonitor
tcp_only,cross_pod_10g,TcpBbr,10000.0,0.06,3,49153/50000,589.52,0.059,0.0622,0.0,0.0,1.0,logs/comparison/cross_pod_10g_TcpBbr.flowmonitor
tcp_only,cross_pod_10g,TcpCubic,10000.0,0.06,3,49153/5000,10036.57,1.0037,4.6174,0.0036,0.0001,1.0,logs/comparison/cross_pod_10g_TcpCubic.flowmonitor
tcp_only,cross_pod_10g,TcpNewReno,10000.0,0.06,3,49153/5000,10037.68,1.0038,3.949,0.0036,0.008,1.0,logs/comparison/cross_pod_10g_TcpNewReno.flowmonitor
tcp_only,cross_pod_10g,TcpSwift,10000.0,0.06,3,49153/5000,10037.76,1.0038,0.6516,0.0036,0.0,1.0,logs/comparison/cross_pod_10g_TcpSwift.flowmonitor
tcp_only,cross_pod_20g,TcpBbr,20000.0,0.06,3,49153/50000,593.4,0.0297,0.0611,0.0,0.0,1.0,logs/comparison/cross_pod_20g_TcpBbr.flowmonitor
tcp_only,cross_pod_20g,TcpCubic,20000.0,0.06,3,49153/5000,20054.88,1.0027,4.4681,0.0018,0.0061,1.0,logs/comparison/cross_pod_20g_TcpCubic.flowmonitor
tcp_only,cross_pod_20g,TcpNewReno,20000.0,0.06,3,49153/5000,20058.38,1.0029,3.8136,0.0018,0.0045,1.0,logs/comparison/cross_pod_20g_TcpNewReno.flowmonitor
tcp_only,cross_pod_20g,TcpSwift,20000.0,0.06,3,49153/5000,20056.92,1.0028,0.2961,0.0018,0.0,1.0,logs/comparison/cross_pod_20g_TcpSwift.flowmonitor
tcp_only,dc_100g,TcpBbr,100000.0,0.004,3,49153/50000,2.2,0.0,0.0044,0.0,0.0,1.0,logs/comparison/dc_100g_TcpBbr.flowmonitor
tcp_only,dc_100g,TcpCubic,100000.0,0.004,3,49153/5000,99961.29,0.9996,1.1832,0.0004,0.0007,1.0,logs/comparison/dc_100g_TcpCubic.flowmonitor
tcp_only,dc_100g,TcpNewReno,100000.0,0.004,3,49153/5000,99961.74,0.9996,1.1122,0.0004,0.0019,1.0,logs/comparison/dc_100g_TcpNewReno.flowmonitor
tcp_only,dc_100g,TcpSwift,100000.0,0.004,3,49153/5000,99961.79,0.9996,0.0675,0.0004,0.0,1.0,logs/comparison/dc_100g_TcpSwift.flowmonitor
tcp_only,dc_100m,TcpBbr,100.0,0.009,3,49153/50000,51.53,0.5153,1.3724,0.0563,0.0,1.0,logs/comparison/dc_100m_TcpBbr.flowmonitor
tcp_only,dc_100m,TcpCubic,100.0,0.009,3,49153/50000,100.36,1.0036,15.4801,0.3549,0.0154,0.9999,logs/comparison/dc_100m_TcpCubic.flowmonitor
tcp_only,dc_100m,TcpNewReno,100.0,0.009,3,49153/50000,100.36,1.0036,16.2489,0.2724,0.0718,0.9999,logs/comparison/dc_100m_TcpNewReno.flowmonitor
tcp_only,dc_100m,TcpSwift,100.0,0.009,3,49153/50000,100.36,1.0036,35.4207,0.4302,0.0,0.9999,logs/comparison/dc_100m_TcpSwift.flowmonitor
tcp_only,dc_500m,TcpBbr,500.0,0.009,3,49153/50000,257.07,0.5141,0.1607,0.0088,0.0,0.6893,logs/comparison/dc_500m_TcpBbr.flowmonitor
tcp_only,dc_500m,TcpCubic,500.0,0.009,3,49153/50000,501.81,1.0036,6.6735,0.0712,0.0027,1.0,logs/comparison/dc_500m_TcpCubic.flowmonitor
tcp_only,dc_500m,TcpNewReno,500.0,0.009,3,49153/50000,501.81,1.0036,6.9805,0.0711,0.0117,1.0,logs/comparison/dc_500m_TcpNewReno.flowmonitor
tcp_only,dc_500m,TcpSwift,500.0,0.009,3,49153/50000,501.81,1.0036,10.7195,0.0846,0.0,1.0,logs/comparison/dc_500m_TcpSwift.flowmonitor
tcp_only,dc_oversub_10to1,TcpBbr,1000.0,0.009,3,49153/50000,507.86,0.5079,0.1303,0.0057,0.0,1.0,logs/comparison/dc_oversub_10to1_TcpBbr.flowmonitor
tcp_only,dc_oversub_10to1,TcpCubic,1000.0,0.009,3,49153/50000,1003.63,1.0036,5.4946,0.0356,0.0011,1.0,logs/comparison/dc_oversub_10to1_TcpCubic.flowmonitor
tcp_only,dc_oversub_10to1,TcpNewReno,1000.0,0.009,3,49153/50000,1003.63,1.0036,5.8697,0.0356,0.0046,1.0,logs/comparison/dc_oversub_10to1_TcpNewReno.flowmonitor
tcp_only,dc_oversub_10to1,TcpSwift,1000.0,0.009,3,49153/50000,1003.63,1.0036,6.9727,0.0363,0.0,1.0,logs/comparison/dc_oversub_10to1_TcpSwift.flowmonitor
tcp_only,intra_rack_10g,TcpBbr,10000.0,0.004,3,49153/50000,2.24,0.0002,0.0062,0.0,0.0,1.0,logs/comparison/intra_rack_10g_TcpBbr.flowmonitor
tcp_only,intra_rack_10g,TcpCubic,10000.0,0.004,3,49153/50000,10038.01,1.0038,4.5127,0.0036,0.0001,1.0,logs/comparison/intra_rack_10g_TcpCubic.flowmonitor
tcp_only,intra_rack_10g,TcpNewReno,10000.0,0.004,3,49153/50000,10038.01,1.0038,3.9434,0.0036,0.0086,1.0,logs/comparison/intra_rack_10g_TcpNewReno.flowmonitor
tcp_only,intra_rack_10g,TcpSwift,10000.0,0.004,3,49153/50000,10038.01,1.0038,0.7076,0.0036,0.0,1.0,logs/comparison/intra_rack_10g_TcpSwift.flowmonitor
