Scenario,Protocol,Type,AccessBW,BottleneckBW,Throughput_Mbps,LossRate_Pct
congested_heavy,TcpLark,tcp,N/A,N/A,337.173,0
intra_rack_10g,TcpLark,tcp,N/A,N/A,3370.99,0
wan_metro,TcpNewReno,tcp,N/A,N/A,336.54,0.00282253
intra_rack_25g,TcpCubic,tcp,N/A,N/A,8427.58,0.0166013
oversub_4to1_10g,TcpCubic,tcp,N/A,N/A,843.024,0.000492967
wifi_ax,TcpBbr,tcp,N/A,N/A,102.292,0.0285486
nr_5g_embb,TcpNewReno,tcp,N/A,N/A,168.08,0.00459148
satellite_leo,TcpBbr,tcp,N/A,N/A,20.7842,0.28928
oversub_4to1_40g,TcpLark,tcp,N/A,N/A,3370.99,0
intra_rack_10g,TcpBbr,tcp,N/A,N/A,0.745272,0
wifi_ac,TcpCubic,tcp,N/A,N/A,134.144,0.00486668
oversub_2to1_25g,TcpCubic,tcp,N/A,N/A,4214.18,0.00187368
cross_dc_wan,TcpLark,tcp,N/A,N/A,236.58,0
satellite_leo,TcpCubic,tcp,N/A,N/A,16.5625,2.94934
congested_heavy,TcpBbr,tcp,N/A,N/A,170.46,0
symmetric_low,TcpLark,tcp,N/A,N/A,337.061,0
wifi_ax,TcpCubic,tcp,N/A,N/A,201.645,0.00235476
oversub_4to1_10g,TcpNewReno,tcp,N/A,N/A,798.66,0.313615
congested_light,TcpNewReno,tcp,N/A,N/A,1685.6,0.0483383
leaf_spine_50g,TcpLark,tcp,N/A,N/A,16854.2,0
wifi_legacy,TcpCubic,tcp,N/A,N/A,3.38087,5.44465
mixed_small_flow,TcpBbr,tcp,N/A,N/A,501.122,0
nr_5g_edge,TcpBbr,tcp,N/A,N/A,3.63045,1.34762
congested_medium,TcpNewReno,tcp,N/A,N/A,674.233,0.0470023
dc_oversub_10to1,TcpCubic,tcp,N/A,N/A,337.441,0.00123149
cross_dc_wan,TcpCubic,tcp,N/A,N/A,335.771,0.00159104
satellite_leo,TcpNewReno,tcp,N/A,N/A,18.3225,0.0419734
nr_5g_embb,TcpCubic,tcp,N/A,N/A,167.757,0.00318412
wifi_ac,TcpLark,tcp,N/A,N/A,132.913,0
lte_good,TcpLark,tcp,N/A,N/A,16.5955,0
cross_pod_10g,TcpNewReno,tcp,N/A,N/A,3370.95,0.0213595
asymmetric_high,TcpLark,tcp,N/A,N/A,337.174,0
wan_longhaul,TcpLark,tcp,N/A,N/A,45.3902,0
wifi_n,TcpNewReno,tcp,N/A,N/A,16.5741,0.0678838
oversub_2to1_25g,TcpLark,tcp,N/A,N/A,4213.7,0
cross_pod_10g,TcpLark,tcp,N/A,N/A,3370.92,0
rdma_like_50g,TcpCubic,tcp,N/A,N/A,16854.7,0.00250113
oversub_4to1_40g,TcpNewReno,tcp,N/A,N/A,3371.03,0.0228727
dc_500m,TcpCubic,tcp,N/A,N/A,168.723,0.00351817
wan_longhaul,TcpNewReno,tcp,N/A,N/A,360.209,0.00131713
mixed_small_flow,TcpLark,tcp,N/A,N/A,674.204,0
satellite_geo,TcpLark,tcp,N/A,N/A,2.91312,0
rdma_like_50g,TcpBbr,tcp,N/A,N/A,0.686694,0
wifi_ax,TcpNewReno,tcp,N/A,N/A,200.687,0.00384469
satellite_geo,TcpBbr,tcp,N/A,N/A,1.30733,6.7402
leaf_spine_50g,TcpNewReno,tcp,N/A,N/A,16854.2,0.00569294
intra_rack_25g,TcpNewReno,tcp,N/A,N/A,8427.16,0.00956678
congested_medium,TcpBbr,tcp,N/A,N/A,341.164,0
oversub_2to1_50g,TcpNewReno,tcp,N/A,N/A,8427.28,0.00941873
oversub_4to1_40g,TcpCubic,tcp,N/A,N/A,3371.44,0.000105656
leaf_spine_20g,TcpBbr,tcp,N/A,N/A,2471.12,0
rdma_like_50g,TcpLark,tcp,N/A,N/A,16854.2,0
symmetric_low,TcpBbr,tcp,N/A,N/A,3.11572,0
oversub_2to1_25g,TcpBbr,tcp,N/A,N/A,2334.08,0
dc_500m,TcpNewReno,tcp,N/A,N/A,168.688,0.0126676
nr_5g_edge,TcpCubic,tcp,N/A,N/A,34.1145,0.0451828
dc_100g,TcpBbr,tcp,N/A,N/A,0.733131,0
satellite_geo,TcpCubic,tcp,N/A,N/A,3.62369,1.45985
lte_poor,TcpBbr,tcp,N/A,N/A,2.43447,4.08259
cross_pod_20g,TcpBbr,tcp,N/A,N/A,197.066,0
dc_100m,TcpCubic,tcp,N/A,N/A,33.8001,0.0122867
oversub_4to1_40g,TcpBbr,tcp,N/A,N/A,2329.82,0
nr_5g_edge,TcpLark,tcp,N/A,N/A,33.4312,0
wifi_ax,TcpLark,tcp,N/A,N/A,199.629,0
intra_rack_10g,TcpNewReno,tcp,N/A,N/A,3371.02,0.0230136
oversub_2to1_25g,TcpNewReno,tcp,N/A,N/A,4213.74,0.0182297
nr_5g_embb,TcpBbr,tcp,N/A,N/A,85.1302,0.118208
oversub_4to1_10g,TcpBbr,tcp,N/A,N/A,16.3824,0
wan_longhaul,TcpCubic,tcp,N/A,N/A,329.844,0.00844803
mixed_small_flow,TcpCubic,tcp,N/A,N/A,674.502,0.000616128
dc_100g,TcpCubic,tcp,N/A,N/A,33568.4,0.00126121
wifi_legacy,TcpNewReno,tcp,N/A,N/A,3.09996,0.209245
